,MLS #,Type,Status,City,Address,Unit Number,Price,Bedrooms,Total Bathrooms,Days On Market,Listing Date,Closing Date,Short Sale Y/N,Approx Sq Ft,Total Rooms,Bank Owned Y/N,Days On MLS,Monthly Maintenance Fee,Short Sale (Y/N),PARKING AVAILABLE,PARKING AVAILABLE.1,PARKING AVAILABLE.2,Zip,Elevator,A/C Central,A/C Central.1,A/C Central.2,Terrace,Terrace.1,Terrace.2,Washer/Dryer,Washer/Dryer.1,Washer/Dryer.2,Taxes,Doorman,Doorman.1,Exercise Room,Exercise Room.1,Health Club,Health Club.1,New York View,New York View.1,New York View.2,River View,River View.1,River View.2,Street_Num,Street_Name,Neighborhood,City_X,Zip_Code,Latitude,Longitude
0,60008448,Condominium,SOLD,Hoboken,108 WILLOW AVE,3R,"$293,000 ",1.0,1.0,18,6/26/2006,9/15/2006,,500.0,3.0,,17,190.0,,,None,,7030,No,,No,,,No,,,No,,2300,No,,No,,No,,,No,,,No,,108,Willow Ave,Not Found,Hoboken,07030,40.7382107,-74.0345413
1,70000238,Condominium,SOLD,"JC, Journal Square",10 HURON AVE,16J,"$293,000 ",2.0,1.0,68,1/1/2007,4/16/2007,,972.0,6.0,,61,434.0,,,Other-See Remarks,,7306,Yes,,No,,,Yes,,,No,,4005,Yes,,No,,Yes,,,No,,,No,,10,Huron Ave,Journal Square,Jersey City,07306,40.7365084,-74.0620749
2,80012101,Condominium,SOLD,Secaucus,610 HARMON COVE TOWER,610,"$293,000 ",2.0,2.0,143,9/12/2008,3/17/2009,,1361.0,5.0,,143,654.0,,,"1 Car, Covered",,07094-1708,Yes,,Yes,,,Yes,,,Yes,,3541,Yes,,No,,Yes,,,No,,,Yes,,Not Found,Harmon Cove Tower,Not Found,Secaucus,07094,40.7821353,-74.0788455
3,80013327,Condominium,SOLD,"JC, Journal Square",340 FAIRMOUNT AVE,309,"$293,000 ",3.0,2.0,161,10/8/2008,4/17/2009,,1372.0,6.0,,161,480.0,,,None,,7306,Yes,,No,,,No,,,No,,,No,,No,,No,,,No,,,No,,340,Fairmount Ave,McGinley Square,Jersey City,07304,40.7256366,-74.0714828
4,90000252,Condominium,SOLD,Secaucus,829 TOPSAIL LANE,829,"$293,000 ",1.0,1.0,160,1/8/2009,8/14/2009,,800.0,6.0,,160,180.0,,,"1 Car, Detached",,07094-2237,No,,Yes,,,Yes,,,Yes,,2745,No,,No,,No,,,No,,,Yes,,829,Topsail Ln,Not Found,Secaucus,07094,40.7847945,-74.0798714
5,80015457,Condominium,SOLD,"JC, Downtown",140 WAYNE ST,4B,"$293,000 ",1.0,1.0,229,12/3/2008,9/30/2009,,700.0,4.0,,229,234.0,,,"1 Car, Other-See Remarks",,07302-3406,No,,Yes,,,No,,,Yes,,2793,No,,No,,No,,,No,,,No,,140,Wayne St,Historic Downtown,Jersey City,07302,40.7206955,-74.0484988
6,90007004,Condominium,SOLD,Hoboken,507 BLOOMFIELD ST,2,"$293,000 ",1.0,1.0,64,6/4/2009,10/6/2009,,593.0,3.0,,64,175.0,,,None,,7030,No,,No,,,No,,,No,,0,No,,No,,No,,,No,,,No,,507,Bloomfield St,Not Found,Hoboken,07030,40.7425605,-74.0300931
7,90011242,Condominium,SOLD,"JC, Downtown",228 1ST ST,2B,"$293,000 ",1.0,1.0,24,9/12/2009,11/23/2009,,650.0,3.0,,24,157.0,,,None,,07302-2891,No,,No,,,No,,,No,,2290,No,,No,,No,,,No,,,No,,228,1st St,Downtown Jersey City,Jersey City,07302,40.7218275,-74.0436806
8,110004706,Condominium,SOLD,West New York,26 AVENUE AT PORT IMPERIAL,325,"$293,000 ",1.0,1.0,318,4/19/2011,7/25/2012,,,4.0,No,318,420.0,Yes,,"1 Car, Garage, Detached",,07093-8388,Yes,,Yes,,,Yes,,,Yes,,,Yes,,Yes,,No,,,Yes,,,Yes,,26,West Ave,West Brighton,New York,11224,40.5815624,-73.9676751
9,307138,Condominium,SOLD,Hoboken,815 WILLOW AVE,3R,"$293,500 ",2.0,2.0,108,9/4/2003,2/10/2004,,707.0,4.0,,104,207.0,,,None,,7030,No,,Yes,,,Yes,,,Yes,,5200,No,,No,,No,,,No,,,No,,815,Willow Ave,Not Found,Hoboken,07030,40.7468559,-74.0319094
10,402310,Condominium,SOLD,Union City,4401 PARK AVE,2E,"$293,500 ",2.0,2.0,238,3/22/2004,7/26/2005,,960.0,4.0,,237,170.0,,,Other-See Remarks,,7087,Yes,,Yes,,,No,,,No,,,No,,No,,No,,,No,,,No,,4401,Park Ave,Not Found,Union City,07087,40.7764538,-74.0192015
11,110001675,Condominium,SOLD,"JC, West Bergen",172 CULVER AVE,501,"$293,500 ",3.0,2.0,24,2/12/2011,3/28/2011,,1424.0,6.0,,24,391.0,,,"1 Car, Garage",,7305,Yes,,Yes,,,Yes,,,Yes,,4764,No,,Yes,,No,,,No,,,No,,172,Culver Ave,Hackensack River Waterfront,Jersey City,07305,40.7139092,-74.0911473
12,100011526,Condominium,SOLD,Hoboken,931 PARK AVE,4R,"$293,500 ",1.0,1.0,148,9/8/2010,4/15/2011,,695.0,3.0,,147,164.0,,,Other-See Remarks,,07030-4255,No,,Yes,,,No,,,No,,3995,No,,No,,No,,,No,,,No,,931,Park Ave,Not Found,Hoboken,07030,40.7486346,-74.0303829
13,110001677,Condominium,SOLD,"JC, West Bergen",172 CULVER AVE,304,"$293,500 ",3.0,2.0,24,2/12/2011,5/31/2011,,1321.0,5.0,,24,362.0,,,1 Car,,7305,Yes,,Yes,,,No,,,Yes,,4416,No,,Yes,,No,,,No,,,No,,172,Culver Ave,Hackensack River Waterfront,Jersey City,07305,40.7139092,-74.0911473
14,70008749,Condominium,SOLD,West New York,5711 JEFFERSON ST,204,"$293,550 ",1.0,1.0,49,6/26/2007,10/18/2007,,993.0,4.0,,47,180.0,,,1 Car,,7093,Yes,,No,,,No,,,No,,,No,,No,,No,,,No,,,No,,5711,Jefferson St,Not Found,West New York,07093,40.7890123,-74.0219722
15,410564,Condominium,SOLD,Hoboken,423 JEFFERSON ST,4,"$293,750 ",2.0,1.0,36,12/20/2004,4/4/2005,,700.0,4.0,,34,157.0,,,None,,7030,No,,No,,,No,,,No,,3699,No,,No,,No,,,No,,,No,,423,Jefferson St,Not Found,Hoboken,07030,40.7434666,-74.0367292
16,110009271,One Family,SOLD,North Arlington,24 CRYSTAL ST,,"$293,850 ",2.0,2.0,19,8/5/2011,12/9/2011,No,,6.0,No,19,,,"1 Car, Attached, Garage",,,07031-5612,,Yes,,,,,No,No,,,6728,,,,,,,No,,,No,,,24,Crystal St,Not Found,North Arlington,07031,40.7919268,-74.1318307
17,401904,Condominium,SOLD,Hoboken,163 14TH ST,6,"$294,000 ",1.0,1.0,31,3/6/2004,6/30/2004,,748.0,3.0,,27,170.0,,,None,,7030,No,,No,,,No,,,Yes,,4701,No,,No,,No,,,No,,,No,,163,14th St,Not Found,Hoboken,07030,40.7535102,-74.0276005
