,MLS #,Type,Status,City,Address,Unit Number,Price,Bedrooms,Total Bathrooms,Days On Market,Listing Date,Closing Date,Short Sale Y/N,Approx Sq Ft,Total Rooms,Bank Owned Y/N,Days On MLS,Monthly Maintenance Fee,Short Sale (Y/N),PARKING AVAILABLE,PARKING AVAILABLE.1,PARKING AVAILABLE.2,Zip,Elevator,A/C Central,A/C Central.1,A/C Central.2,Terrace,Terrace.1,Terrace.2,Washer/Dryer,Washer/Dryer.1,Washer/Dryer.2,Taxes,Doorman,Doorman.1,Exercise Room,Exercise Room.1,Health Club,Health Club.1,New York View,New York View.1,New York View.2,River View,River View.1,River View.2,Street_Num,Street_Name,Neighborhood,City_X,Zip_Code,Latitude,Longitude
0,70014329,One Family,SOLD,"JC, Greenville",230 LEMBECK AVE,,"$155,000 ",3.0,1,210,10/23/2007,5/23/2008,,,5.0,,210,,,None,,,07305-3803,,No,,,,,No,No,,,3529,,,,,,,No,,,No,,,230,Lembeck Ave,Greenville,Jersey City,07305,40.697977700000003,-74.095939000000001
1,80003957,Condominium,SOLD,Bayonne,759 AVENUE A,10,"$155,000 ",1.0,1,2,3/19/2008,6/13/2008,,621.0,3.0,,0,228,,,None,,07002-1947,No,,No,,,No,,,No,,,No,,No,,No,,,No,,,No,,759,Avenue A,Bayonne,Bayonne,07002,40.674816,-74.118332000000009
2,70001992,Condominium,SOLD,Union City,214 48TH ST,12,"$155,000 ",2.0,0,462,2/12/2007,7/1/2008,,624.0,4.0,,460,197,,,None,,7087,No,,No,,,No,,,No,,1947,No,,No,,No,,,No,,,No,,214,48th St,Not Found,Union City,07087,40.780421699999998,-74.018911299999999
3,80006732,Condominium,SOLD,West New York,318 54TH ST,1 I #9,"$155,000 ",1.0,1,22,5/15/2008,7/3/2008,,637.0,4.0,,22,150,,,None,,7093,Yes,,Yes,,,No,,,No,,3052,No,,No,,No,,,No,,,No,,318,54th St,Not Found,West New York,07093,40.783981999999988,-74.015548899999999
4,80002943,Condominium,SOLD,Union City,1700 KENNEDY BLVD,45,"$155,000 ",1.0,1,89,3/1/2008,7/10/2008,,540.0,3.0,,87,233,,,None,,07087-2065,Yes,,No,,,No,,,No,,917,No,,No,,No,,,No,,,No,,1700,John F Kennedy Blvd W,Not Found,Union City,07047,40.765703700000003,-74.042040299999996
5,80009950,Condominium,SOLD,West New York,330 60TH ST,8,"$155,000 ",2.0,1,1,7/23/2008,7/25/2008,,750.0,4.0,,1,135,,,None,,7093,No,,No,,,No,,,No,,1920,No,,No,,No,,,No,,,No,,330,60th St,Not Found,West New York,07093,40.787682099999998,-74.013807700000001
6,80009949,Condominium,SOLD,West New York,330 60TH ST,7,"$155,000 ",2.0,1,1,7/23/2008,7/25/2008,,750.0,4.0,,1,135,,,None,,7093,No,,No,,,No,,,No,,1920,No,,No,,No,,,No,,,No,,330,60th St,Not Found,West New York,07093,40.787682099999998,-74.013807700000001
7,80009948,Condominium,SOLD,West New York,330 60TH ST,6,"$155,000 ",2.0,1,1,7/23/2008,7/25/2008,,750.0,4.0,,1,135,,,None,,7093,No,,No,,,No,,,No,,1920,No,,No,,No,,,No,,,No,,330,60th St,Not Found,West New York,07093,40.787682099999998,-74.013807700000001
8,80009947,Condominium,SOLD,West New York,330 60TH ST,5,"$155,000 ",2.0,1,1,7/23/2008,7/25/2008,,750.0,4.0,,1,135,,,None,,7093,No,,No,,,No,,,No,,1920,No,,No,,No,,,No,,,No,,330,60th St,Not Found,West New York,07093,40.787682099999998,-74.013807700000001
9,80009946,Condominium,SOLD,West New York,330 60TH ST,4,"$155,000 ",2.0,1,1,7/23/2008,7/25/2008,,750.0,4.0,,1,135,,,None,,7093,No,,No,,,No,,,No,,1920,No,,No,,No,,,No,,,No,,330,60th St,Not Found,West New York,07093,40.787682099999998,-74.013807700000001
10,80009945,Condominium,SOLD,West New York,330 60TH ST,3,"$155,000 ",2.0,1,1,7/23/2008,7/25/2008,,,4.0,,1,,,,None,,7093,No,,No,,,No,,,No,,,No,,No,,No,,,No,,,No,,330,60th St,Not Found,West New York,07093,40.787682099999998,-74.013807700000001
11,80009849,Condominium,SOLD,West New York,330 60TH ST,2,"$155,000 ",2.0,1,2,7/22/2008,7/25/2008,,750.0,4.0,,3,135,,,None,,7093,No,,No,,,No,,,No,,1920,No,,No,,No,,,No,,,No,,330,60th St,Not Found,West New York,07093,40.787682099999998,-74.013807700000001
12,80002487,Cooperative,SOLD,North Bergen,8550 BLVD EAST,1F,"$155,000 ",1.0,1,144,2/21/2008,8/21/2008,,800.0,4.0,,143,773,,,1 Car,,07047-6047,Yes,,No,,,No,,,No,,,No,,Yes,,No,,,No,,,No,,8550,Bergen Blvd,Not Found,North Bergen,07047,40.810668399999997,-74.004922699999995
13,80003877,Condominium,SOLD,"JC, Journal Square",145 HARRISON AVE,103,"$155,000 ",2.0,1,66,3/18/2008,8/27/2008,,678.0,4.0,,65,220,,,Other-See Remarks,,07304-1932,Yes,,No,,,No,,,No,,1126,No,,No,,No,,,No,,,No,,145,Harrison Ave,West Side,Jersey City,07304,40.719149000000009,-74.075244799999993
14,80005827,One Family,SOLD,"JC, West Bergen",152-1/2 LEXINGTON AVE,,"$155,000 ",3.0,3,61,4/27/2008,9/10/2008,,,6.0,,60,,,None,,,07304-1204,,No,,,,,No,Yes,,,4994,,,,,,,No,,,No,,,2,Lexington Ave,West Side,Jersey City,07304,40.717094899999999,-74.077486800000003
15,80009313,Condominium,SOLD,North Bergen,8701 BERGENLINE AVE,B-6,"$155,000 ",1.0,1,34,7/10/2008,10/21/2008,,900.0,4.0,,34,161,,,1 Car,,07047-5256,No,,Yes,,,No,,,No,,3700,No,,No,,No,,,No,,,No,,8701,Bergenline Ave,Not Found,North Bergen,07047,40.806644800000001,-74.003175599999992
16,80011068,Condominium,SOLD,North Bergen,31 75TH ST,4E,"$155,000 ",1.0,1,58,8/18/2008,1/20/2009,,700.0,3.0,,57,273,,,None,,7047,No,,No,,,No,,,Yes,,2584,No,,No,,No,,,Yes,,,Yes,,31,75th St,Not Found,North Bergen,07047,40.795492499999988,-74.000988100000001
17,80011714,Condominium,SOLD,"JC, Journal Square",79 CRESCENT AVE,6,"$155,000 ",2.0,1,68,9/5/2008,1/22/2009,,650.0,5.0,,68,0,,,None,,07304-2952,No,,Yes,,,No,,,Yes,,0,No,,No,,No,,,No,,,No,,79,Crescent Ave,McGinley Square,Jersey City,07304,40.718207399999997,-74.070266900000007
18,80005863,Condominium,SOLD,West New York,301 61ST ST,1D,"$155,000 ",1.0,1,270,4/27/2008,1/30/2009,,778.0,4.0,,269,165,,,1 Car,,07093-5446,No,,Yes,,,No,,,No,,6500,No,,No,,No,,,No,,,No,,301,61st St,Not Found,West New York,07093,40.788438399999997,-74.011670199999998
19,80015996,Condominium,SOLD,Bayonne,1011 AVENUE C,122,"$155,000 ",1.0,1,93,12/15/2008,5/6/2009,,655.0,3.0,,90,281,,,1 Car,,07002-3238,No,,No,,,No,,,No,,951,No,,No,,No,,,No,,,No,,1011,Avenue C,Bayonne,Bayonne,07002,40.682760899999998,-74.105658199999993
20,90004186,Condominium,SOLD,Bayonne,1225 KENNEDY BLVD,9k,"$155,000 ",1.0,1,27,3/31/2009,6/1/2009,,680.0,3.0,,26,535,,,1 Car,,07002-2255,Yes,,Yes,,,No,,,No,,2100,No,,No,,No,,,Yes,,,No,,1225,John F Kennedy Blvd W,Bayonne,Bayonne,07002,40.688869799999999,-74.106171099999997
21,70014178,One Family,SOLD,HILLSIDE,1268 ROBERT ST,,"$155,000 ",4.0,3,566,10/17/2007,6/19/2009,,,9.0,,564,,,2 Cars,,,7205,,No,,,,,No,No,,,5710,,,,,,,No,,,No,,,1268,Robert St,Not Found,Hillside,07205,40.693565900000003,-74.217866000000001
22,90000008,Condominium,SOLD,"JC, Journal Square",260 HARRISON AVE,210,"$155,000 ",1.0,1,163,12/31/2008,6/30/2009,,642.0,3.0,,161,276,,,None,,07304-1755,Yes,,No,,,No,,,No,,1027,No,,No,,No,,,No,,,No,,260,Harrison Ave,West Side,Jersey City,07304,40.721222599999997,-74.079278599999995
23,70011401,Cooperative,SOLD,North Bergen,8300 BLVD EAST,2C,"$155,000 ",1.0,1,711,8/20/2007,8/17/2009,,775.0,4.0,,708,730,,,Other-See Remarks,,07047-6047,Yes,,No,,,No,,,No,,,No,,Yes,,No,,,Yes,,,Yes,,8300,Bergen Blvd,Not Found,North Bergen,07047,40.810668399999997,-74.004922699999995
24,90008483,Condominium,SOLD,Union City,150 37TH ST,D4,"$155,000 ",1.0,1,47,7/8/2009,10/1/2009,,790.0,3.0,,47,252,,,Other-See Remarks,,07087-8910,No,,No,,,No,,,No,,3038,No,,No,,No,,,No,,,No,,150,37th St,Not Found,Union City,07087,40.773222699999998,-74.023727600000001
25,90011360,Condominium,SOLD,"JC, Heights",104 PALISADE AVE,BA,"$155,000 ",2.0,1,32,9/14/2009,12/3/2009,,851.0,5.0,,31,470,,,"1 Car, Other-See Remarks",,07306-1199,Yes,,No,,,No,,,Yes,,1310,No,,No,,No,,,No,,,No,,104,Palisade Ave,The Heights,Jersey City,07306,40.732772300000001,-74.051245399999999
26,90012131,Condominium,SOLD,Bayonne,214 AVENUE A,C4,"$155,000 ",1.0,1,1,9/28/2009,12/21/2009,,574.0,3.0,,0,116,,,1 Car,,07002-1236,No,,No,,,No,,,No,,3818,No,,No,,No,,,No,,,No,,214,Avenue A,Constable Hook,Bayonne,07002,40.655558499999998,-74.134092499999994
27,90009732,Cooperative,SOLD,Bayonne,19B WEST 33RD ST,4,"$155,000 ",1.0,1,99,8/5/2009,1/19/2010,,800.0,5.0,,99,500,,,1 Car,,7002,No,,Yes,,,Yes,,,No,,0,No,,No,,No,,,No,,,No,,19,W 33rd St,Bayonne,Bayonne,07002,40.672751600000012,-74.112026999999998
28,80012898,Condominium,SOLD,North Bergen,18 74TH ST,D4,"$155,000 ",2.0,1,431,9/28/2008,1/20/2010,,750.0,4.0,,429,274,,,None,,07047-5979,No,,No,,,No,,,No,,2088,No,,No,,No,,,Yes,,,Yes,,18,74th St,Not Found,North Bergen,07047,40.794517200000001,-74.000528299999999
29,90002593,Condominium,SOLD,"JC, Heights",349 NEW YORK AVE,1,"$155,000 ",2.0,2,203,2/26/2009,2/4/2010,,900.0,4.0,,202,200,,,None,,07307-1106,No,,Yes,,,No,,,Yes,,2726,No,,No,,No,,,No,,,No,,349,New York Ave,The Heights,Jersey City,07307,40.748104599999998,-74.042806299999995
30,90013698,Cooperative,SOLD,North Bergen,8600 BLVD EAST,1D,"$155,000 ",1.0,1,41,10/30/2009,3/1/2010,,800.0,4.0,,38,835,,,None,,7047,Yes,,No,,,No,,,No,,,No,,No,,No,,,Yes,,,Yes,,8600,Bergen Blvd,Not Found,North Bergen,07047,40.810668399999997,-74.004922699999995
31,80013841,Cooperative,SOLD,North Bergen,8500 BLVD EAST,3F,"$155,000 ",1.0,1,378,10/20/2008,3/17/2010,,800.0,4.0,,377,860,,,Other-See Remarks,,7047,Yes,,No,,,No,,,No,,,No,,Yes,,Yes,,,Yes,,,Yes,,8500,Bergen Blvd,Not Found,North Bergen,07047,40.810668399999997,-74.004922699999995
32,90009760,Condominium,SOLD,"JC, Journal Square",2520 KENNEDY BLVD,1f,"$155,000 ",1.0,1,129,8/4/2009,4/7/2010,,653.0,4.0,,127,173,,,None,,07304-2054,Yes,,No,,,No,,,No,,1140,No,,No,,No,,,No,,,No,,2520,John F Kennedy Blvd W,West Side,Jersey City,07304,40.723349900000002,-74.074671499999994
33,90009729,Condominium,SOLD,North Bergen,9060 PALISADE AVE,1009,"$155,000 ",1.0,0,153,8/5/2009,4/27/2010,,850.0,4.0,,153,412,,,"1 Car, Garage",,7047,Yes,,Yes,,,No,,,No,,3500,Yes,,Yes,,No,,,No,,,No,,9060,Palisade Ave,Not Found,North Bergen,07047,40.806833400000002,-73.995760300000001
34,100000086,Cooperative,SOLD,West New York,6040 BLVD EAST,16m,"$155,000 ",0.0,1,53,1/7/2010,5/10/2010,,550.0,3.0,,53,496,No,,"1 Car, Attached, Covered, Garage, Other-See Remarks",,07093-3825,Yes,,No,,,Yes,,,No,,,Yes,,Yes,,No,,,Yes,,,Yes,,Not Found,J F Kennedy Blvd E,Not Found,West New York,07093,40.785493700000004,-74.008134299999995
35,90013345,Condominium,SOLD,Union City,135-137 40TH ST,C4,"$155,000 ",1.0,1,0,10/24/2009,6/3/2010,,687.0,3.0,,0,328,,,None,,7087,No,,No,,,No,,,No,,2190,No,,No,,No,,,No,,,No,,137,40th St,Not Found,Union City,07087,40.774806699999999,-74.022520100000008
36,90015377,Condominium,SOLD,"JC, Journal Square",100 PALISADE AVE,3B,"$155,000 ",1.0,1,134,12/20/2009,6/25/2010,,623.0,5.0,,132,200,No,,None,,07306-1102,No,,No,,,Yes,,,No,,2844,No,,No,,No,,,Yes,,,No,,100,Palisade Ave,The Heights,Jersey City,07306,40.732667499999998,-74.051741699999994
37,100002016,Condominium,SOLD,Bayonne,205 AVENUE B,1B,"$155,000 ",2.0,1,73,2/15/2010,6/29/2010,,640.0,4.0,,73,127,,,None,,7002,No,,No,,,No,,,No,,,No,,No,,No,,,No,,,No,,205,Avenue B,Bayonne,Bayonne,07002,40.684124599999997,-74.107953600000002
38,100002251,Condominium,SOLD,North Bergen,133 73RD ST,12,"$155,000 ",2.0,1,57,2/19/2010,6/30/2010,,802.0,4.0,,57,221,No,,Other-See Remarks,,07047-5870,No,,No,,,No,,,No,,2530,No,,No,,No,,,Yes,,,Yes,,133,73rd St,Not Found,North Bergen,07047,40.795033699999998,-74.003289499999994
39,100001687,Condominium,SOLD,"JC, Journal Square",2787 JOHN F KENNEDY PARKWAY,207A,"$155,000 ",1.0,1,24,2/5/2010,7/2/2010,,635.0,3.0,,24,320,No,,Other-See Remarks,,07306-5583,Yes,,No,,,No,,,No,,1507,Yes,,Yes,,Yes,,,No,,,No,,2787,John F Kennedy Blvd W,Not Found,Jersey City,07306,40.731110299999997,-74.068035199999997
40,100009106,One Family,SOLD,"JC, Journal Square",10 BELVIDERE AVE,,"$155,000 ",3.0,2,20,7/10/2010,10/26/2010,,,7.0,,17,,,1 Car,,,07304-1301,,No,,,,,No,No,,,,,,,,,,No,,,No,,,10,Belvidere Ave,West Side,Jersey City,07304,40.722215400000003,-74.083417499999996
41,80011770,One Family,SOLD,North Bergen,8511 4TH AVE,,"$155,000 ",2.0,1,757,9/1/2008,11/2/2010,,,4.0,,752,,,Other-See Remarks,,,07047-5126,,No,,,,,No,No,,,4714,,,,,,,No,,,No,,,8511,4th Ave,Not Found,North Bergen,07047,40.806994000000003,-74.007368999999997
42,100007757,One Family,SOLD,North Bergen,1125 72ND ST,,"$155,000 ",3.0,1,48,6/11/2010,11/10/2010,Yes,,6.0,,48,,,"1 Car, Garage, Detached",,,07047-3913,,No,,,,,No,No,,,3536,,,,,,,No,,,No,,,1125,72nd St,Not Found,North Bergen,07047,40.799717899999997,-74.01574269999999
