,MLS #,Type,Status,City,Address,Unit Number,Price,Bedrooms,Total Bathrooms,Days On Market,Listing Date,Closing Date,Short Sale Y/N,Approx Sq Ft,Total Rooms,Bank Owned Y/N,Days On MLS,Monthly Maintenance Fee,Short Sale (Y/N),PARKING AVAILABLE,PARKING AVAILABLE.1,PARKING AVAILABLE.2,Zip,Elevator,A/C Central,A/C Central.1,A/C Central.2,Terrace,Terrace.1,Terrace.2,Washer/Dryer,Washer/Dryer.1,Washer/Dryer.2,Taxes,Doorman,Doorman.1,Exercise Room,Exercise Room.1,Health Club,Health Club.1,New York View,New York View.1,New York View.2,River View,River View.1,River View.2,Street_Num,Street_Name,Neighborhood,City_X,Zip_Code,Latitude,Longitude
0,502908,Condominium,SOLD,"JC, Downtown",205 10TH ST,7R,"$375,000 ",1.0,1,57,4/5/2005,8/15/2005,,875.0,3.0,,55,405.0,,,Other-See Remarks,,7302,Yes,,No,,,No,,,No,,4100,Yes,,Yes,,No,,,Yes,,,No,,205,E 10th St,Lower Manhattan,New York,10003,40.729734000000001,-73.986122999999992
1,502678,Condominium,SOLD,Hoboken,1122 WASHINGTON ST,4,"$375,000 ",2.0,1,10,3/30/2005,8/17/2005,,1000.0,6.0,,9,,,,None,,7030,No,,No,,,No,,,No,,,No,,No,,No,,,No,,,No,,1122,Washington St,Not Found,Hoboken,07030,40.750853599999999,-74.027037100000001
2,505001,One Family,SOLD,North Bergen,1515 40TH ST,,"$375,000 ",4.0,2,27,6/2/2005,8/23/2005,,,,,26,,,2 Cars,,,7047,,Yes,,,,,No,No,,,4082,,,,,,,No,,,No,,,1515,40th St,Not Found,North Bergen,07047,40.780403,-74.033907999999997
3,505022,Condominium,SOLD,"JC, West Bergen",39 WILLOW ST,2,"$375,000 ",2.0,1,20,6/2/2005,8/24/2005,,1450.0,6.0,,16,180.0,,,1 Car,,7305,No,,Yes,,,No,,,No,,4058,Yes,,No,,No,,,No,,,Yes,,39,Willow St,Bayonne,Bayonne,07002,40.670791600000001,-74.110173899999992
4,506292,Condominium,SOLD,"JC, Journal Square",75 LIBERTY AVE,B4,"$375,000 ",2.0,2,11,7/11/2005,8/31/2005,,1238.0,5.0,,8,409.0,,,"1 Car, Covered",,7304,Yes,,Yes,,,Yes,,,Yes,,4000,Yes,,No,,Yes,,,No,,,No,,75,Liberty Ave,Journal Square,Jersey City,07306,40.738669199999997,-74.064488999999995
5,403969,Condominium,SOLD,"JC, Downtown",418 1ST ST,2,"$375,000 ",3.0,2,56,4/17/2004,9/1/2005,,1230.0,6.0,,30,,,,None,,7304,No,,Yes,,,No,,,No,,,No,,No,,No,,,No,,,No,,418,1st St,Historic Downtown,Jersey City,07302,40.723005099999988,-74.052857000000003
6,504682,Condominium,SOLD,Hoboken,601 MONROE ST,2D,"$375,000 ",2.0,1,39,5/23/2005,9/15/2005,,650.0,4.0,,36,171.0,,,None,,7030,No,,No,,,No,,,No,,3400,No,,No,,No,,,No,,,No,,601,Monroe St,Not Found,Hoboken,07030,40.745118099999999,-74.038324399999993
7,509017,Condominium,SOLD,Secaucus,1932 Harmon Cove Tower,32,"$375,000 ",2.0,2,42,6/23/2005,9/20/2005,,1372.0,5.0,,0,546.0,,,Covered,,7094,Yes,,Yes,,,Yes,,,Yes,,3749,Yes,,No,,Yes,,,Yes,,,No,,Not Found,Harmon Cove Tower,Not Found,Secaucus,07094,40.7821353,-74.0788455
8,506684,Condominium,SOLD,Hoboken,126 MONROE ST,4B,"$375,000 ",1.0,1,25,7/24/2005,9/21/2005,,639.0,4.0,,22,99.0,,,None,,7030,No,,Yes,,,No,,,Yes,,3742,No,,No,,No,,,No,,,No,,126,Monroe St,Not Found,Hoboken,07030,40.739942800000001,-74.039908499999996
9,504328,Condominium,SOLD,"JC, West Bergen",409 GRAND AVE,315,"$375,000 ",2.0,1,16,5/16/2005,9/28/2005,,975.0,6.0,,15,223.0,,,"1 Car, Covered, Garage",,7304,No,,Yes,,,No,,,No,,4000,No,,No,,No,,,No,,,No,,409,Grand Ave,The Heights,North Bergen,07047,40.758644599999997,-74.048746699999995
