,MLS #,Type,Status,City,Address,Unit Number,Price,Bedrooms,Total Bathrooms,Days On Market,Listing Date,Closing Date,Short Sale Y/N,Approx Sq Ft,Total Rooms,Bank Owned Y/N,Days On MLS,Monthly Maintenance Fee,Short Sale (Y/N),PARKING AVAILABLE,PARKING AVAILABLE.1,PARKING AVAILABLE.2,Zip,Elevator,A/C Central,A/C Central.1,A/C Central.2,Terrace,Terrace.1,Terrace.2,Washer/Dryer,Washer/Dryer.1,Washer/Dryer.2,Taxes,Doorman,Doorman.1,Exercise Room,Exercise Room.1,Health Club,Health Club.1,New York View,New York View.1,New York View.2,River View,River View.1,River View.2,Street_Num,Street_Name,Neighborhood,City_X,Zip_Code,Latitude,Longitude
0,80013695,Cooperative,SOLD,Union City,100 MANHATTAN AVE,406,"$251,000 ",1.0,1,138,10/16/2008,4/27/2009,,880.0,3.0,,138,898.0,,,1 Car,,07087-5240,Yes,,No,,,Yes,,,No,,,Yes,,Yes,,No,,,Yes,,,Yes,,100,Manhattan Ave,Not Found,Union City,07087,40.7514201,-74.0385689
1,90007528,Condominium,SOLD,Hoboken,1013 PARK AVE,5L,"$251,000 ",1.0,1,92,6/16/2009,11/4/2009,,553.0,3.0,,92,194.0,,,None,,07030-4375,No,,No,,,No,,,No,,3360,No,,No,,No,,,Yes,,,No,,1013,Park Ave,Not Found,Hoboken,07030,40.749478,-74.0300136
2,90011410,One Family,SOLD,North Bergen,1607 82ND ST,,"$251,000 ",3.0,1,3,9/16/2009,12/24/2009,,,9.0,,3,,,"1 Car, Other-See Remarks",,,07047-4219,,No,,,,,No,No,,,5867,,,,,,,No,,,No,,,1607,82nd St,Not Found,North Bergen,07047,40.8072941,-74.01491
3,90013734,Condominium,SOLD,"JC, Journal Square",2600 KENNEDY BLVD,7E,"$251,000 ",1.0,1,76,11/4/2009,3/23/2010,,1307.0,5.0,,77,480.0,,,None,,07306-6070,Yes,,Yes,,,No,,,No,,2904,No,,No,,No,,,No,,,No,,2600,John F Kennedy Blvd W,McGinley Square,Jersey City,07306,40.7256706,-74.0726787
4,110011781,One Family,SOLD,"JC, West Bergen",189 STEVENS AVE,,"$251,000 ",4.0,3,34,10/13/2011,3/26/2012,No,,8.0,,34,,,3+ Cars,,,7305,,Yes,,,,,No,No,,,6212,,,,,,,No,,,No,,,189,Stevens Ave,Greenville,Jersey City,07305,40.7038115,-74.0922242
5,404388,Condominium,SOLD,Hoboken,812 GRAND ST,221,"$251,440 ",,1,33,4/1/2004,5/12/2004,,760.0,2.0,,0,139.0,,,Other-See Remarks,,7030,Yes,,Yes,,,No,,,Yes,,,No,,No,,Yes,,,No,,,No,,812,Grand St,Not Found,Hoboken,07030,40.7471597,-74.033784
6,404450,Condominium,SOLD,Hoboken,800-830 GRAND ST,409,"$251,440 ",1.0,0,39,4/1/2004,5/20/2004,,760.0,3.0,,0,139.0,,,Other-See Remarks,,7030,Yes,,Yes,,,No,,,Yes,,,No,,Yes,,No,,,No,,,No,,830,Grand St,Not Found,Hoboken,07030,40.7473897,-74.033715
7,510811,Condominium,SOLD,"JC, Journal Square",108 WALDO AVE,2C,"$251,500 ",2.0,1,32,10/31/2005,2/3/2006,,750.0,5.0,,28,175.0,,,None,,7306,No,,No,,,No,,,No,,1920,No,,No,,No,,,No,,,No,,108,Waldo Ave,Journal Square,Jersey City,07306,40.7280767,-74.0556358
8,70013185,Condominium,SOLD,Secaucus,41 RIVERVIEW CT,41,"$251,500 ",1.0,1,74,9/27/2007,1/29/2008,,883.0,4.0,,74,126.0,,,"1 Car, Other-See Remarks",,07094-4056,No,,No,,,No,,,Yes,,3160,No,,No,,No,,,No,,,No,,41,Riverview Ct,Not Found,Secaucus,07094,40.8033479,-74.0592554
9,80013042,Condominium,SOLD,West New York,5509-5511 MADISON ST,303,"$251,500 ",2.0,1,176,10/2/2008,5/8/2009,,970.0,4.0,,176,205.0,,,"1 Car, Garage",,7093,Yes,,Yes,,,No,,,Yes,,0,No,,No,,No,,,No,,,No,,5511,Madison St,Not Found,West New York,07093,40.7868705,-74.0194464
